shift,baseline,mean_detection_rate_difference,detection_rate_pvalue,detection_rate_cliffs_delta,detection_rate_cliffs_magnitude,mean_far_difference,far_pvalue,far_cliffs_delta,far_cliffs_magnitude,paired_delay_n,mean_delay_difference,delay_pvalue,delay_cliffs_delta,delay_cliffs_magnitude
title,ADWIN,0.94,9.999000099990002e-05,0.94,large,0.07583333333333334,9.999000099990002e-05,1.0,large,14,-659.9285714285714,9.999000099990002e-05,-1.0,large
title,Page-Hinkley,0.9866666666666667,9.999000099990002e-05,0.9866666666666667,large,0.07583333333333334,9.999000099990002e-05,1.0,large,0,,,,undefined
naming,ADWIN,0.8566666666666667,9.999000099990002e-05,0.8566666666666667,large,0.07006410256410256,9.999000099990002e-05,1.0,large,0,,,,undefined
naming,Page-Hinkley,0.8566666666666667,9.999000099990002e-05,0.8566666666666667,large,0.07006410256410256,9.999000099990002e-05,1.0,large,0,,,,undefined
missingness,ADWIN,0.8666666666666667,9.999000099990002e-05,0.8666666666666667,large,0.07788461538461537,9.999000099990002e-05,1.0,large,0,,,,undefined
missingness,Page-Hinkley,0.8666666666666667,9.999000099990002e-05,0.8666666666666667,large,0.07788461538461537,9.999000099990002e-05,1.0,large,0,,,,undefined
