shift,rep,detector,total_detections,false_alarms,post_drift_detections,false_alarm_rate,first_post_drift_detection,detection_delay,detected,calibration_threshold
title,27,ADWIN,0,0,0,0.0,,,False,
title,27,Page-Hinkley,0,0,0,0.0,,,False,
title,27,Boundary-Aware,18,3,15,0.057692307692307696,1425.0,50.0,True,2.409224848336191
title,28,ADWIN,0,0,0,0.0,,,False,
title,28,Page-Hinkley,0,0,0,0.0,,,False,
title,28,Boundary-Aware,12,2,10,0.038461538461538464,1550.0,175.0,True,2.3568565180769365
title,29,ADWIN,0,0,0,0.0,,,False,
title,29,Page-Hinkley,0,0,0,0.0,,,False,
title,29,Boundary-Aware,17,2,15,0.038461538461538464,1375.0,0.0,True,2.184823217679753
title,30,ADWIN,0,0,0,0.0,,,False,
title,30,Page-Hinkley,0,0,0,0.0,,,False,
title,30,Boundary-Aware,10,2,8,0.038461538461538464,1825.0,450.0,True,2.432258103178859
title,31,ADWIN,0,0,0,0.0,,,False,
title,31,Page-Hinkley,0,0,0,0.0,,,False,
title,31,Boundary-Aware,28,9,19,0.17307692307692307,1375.0,0.0,True,2.0318960400899826
title,32,ADWIN,0,0,0,0.0,,,False,
title,32,Page-Hinkley,0,0,0,0.0,,,False,
title,32,Boundary-Aware,3,1,2,0.019230769230769232,2100.0,725.0,True,2.5618059625892173
title,33,ADWIN,0,0,0,0.0,,,False,
title,33,Page-Hinkley,0,0,0,0.0,,,False,
title,33,Boundary-Aware,23,3,20,0.057692307692307696,1375.0,0.0,True,2.1272597287513353
title,34,ADWIN,0,0,0,0.0,,,False,
title,34,Page-Hinkley,0,0,0,0.0,,,False,
title,34,Boundary-Aware,19,2,17,0.038461538461538464,1475.0,100.0,True,2.4253679595293947
title,35,ADWIN,0,0,0,0.0,,,False,
title,35,Page-Hinkley,0,0,0,0.0,,,False,
title,35,Boundary-Aware,4,2,2,0.038461538461538464,1850.0,475.0,True,2.785751611207249
title,36,ADWIN,0,0,0,0.0,,,False,
title,36,Page-Hinkley,0,0,0,0.0,,,False,
title,36,Boundary-Aware,28,9,19,0.17307692307692307,1450.0,75.0,True,2.114090735039751
title,37,ADWIN,0,0,0,0.0,,,False,
title,37,Page-Hinkley,0,0,0,0.0,,,False,
title,37,Boundary-Aware,20,6,14,0.11538461538461539,1375.0,0.0,True,1.9803951467301695
title,38,ADWIN,0,0,0,0.0,,,False,
title,38,Page-Hinkley,0,0,0,0.0,,,False,
title,38,Boundary-Aware,27,7,20,0.1346153846153846,1375.0,0.0,True,1.8285578273424588
title,39,ADWIN,0,0,0,0.0,,,False,
title,39,Page-Hinkley,0,0,0,0.0,,,False,
title,39,Boundary-Aware,34,5,29,0.09615384615384616,1375.0,0.0,True,2.045303490625865
title,40,ADWIN,0,0,0,0.0,,,False,
title,40,Page-Hinkley,0,0,0,0.0,,,False,
title,40,Boundary-Aware,34,6,28,0.11538461538461539,1375.0,0.0,True,2.0108621233273745
title,41,ADWIN,0,0,0,0.0,,,False,
title,41,Page-Hinkley,0,0,0,0.0,,,False,
title,41,Boundary-Aware,5,2,3,0.038461538461538464,1450.0,75.0,True,2.500744987942064
title,42,ADWIN,0,0,0,0.0,,,False,
title,42,Page-Hinkley,0,0,0,0.0,,,False,
title,42,Boundary-Aware,20,3,17,0.057692307692307696,1375.0,0.0,True,2.673571023285623
title,43,ADWIN,1,0,1,0.0,2015.0,640.0,True,
title,43,Page-Hinkley,0,0,0,0.0,,,False,
title,43,Boundary-Aware,28,1,27,0.019230769230769232,1400.0,25.0,True,2.162879152224649
title,44,ADWIN,0,0,0,0.0,,,False,
title,44,Page-Hinkley,0,0,0,0.0,,,False,
title,44,Boundary-Aware,10,4,6,0.07692307692307693,1900.0,525.0,True,2.490555192168272
title,45,ADWIN,0,0,0,0.0,,,False,
title,45,Page-Hinkley,0,0,0,0.0,,,False,
title,45,Boundary-Aware,26,3,23,0.057692307692307696,1375.0,0.0,True,2.554381740567952
title,46,ADWIN,0,0,0,0.0,,,False,
title,46,Page-Hinkley,0,0,0,0.0,,,False,
title,46,Boundary-Aware,31,4,27,0.07692307692307693,1450.0,75.0,True,1.7882497843507714
title,47,ADWIN,0,0,0,0.0,,,False,
title,47,Page-Hinkley,0,0,0,0.0,,,False,
title,47,Boundary-Aware,21,3,18,0.057692307692307696,1475.0,100.0,True,1.8509649027102661
title,48,ADWIN,0,0,0,0.0,,,False,
