shift,detector,repetitions,detection_rate,detection_rate_ci_low,detection_rate_ci_high,mean_false_alarm_rate,false_alarm_rate_ci_low,false_alarm_rate_ci_high,mean_detection_delay,detection_delay_ci_low,detection_delay_ci_high
missingness,Boundary-Aware,300,0.8666666666666667,0.8266666666666667,0.9033333333333332,0.0778846153846153,0.0716666666666666,0.084551282051282,209.71153846153845,184.4206730769231,235.57692307692307
naming,Boundary-Aware,300,0.8566666666666667,0.8133333333333334,0.8966666666666666,0.0700641025641025,0.0642307692307692,0.0761538461538461,210.7003891050584,186.67315175097275,236.284046692607
title,Boundary-Aware,300,0.9866666666666668,0.9733333333333334,0.9966666666666668,0.0758333333333333,0.0704487179487179,0.0814102564102564,64.69594594594595,51.77153716216217,79.05405405405405
