shift,detector,repetitions,detection_rate,detection_rate_ci_low,detection_rate_ci_high,mean_false_alarm_rate,false_alarm_rate_ci_low,false_alarm_rate_ci_high,mean_detection_delay,detection_delay_ci_low,detection_delay_ci_high
missingness,ADWIN,300,0.0,0.0,0.0,0.0,0.0,0.0,,,
missingness,Boundary-Aware,300,0.8666666666666667,0.8266666666666667,0.9033333333333333,0.07788461538461537,0.07166666666666667,0.08455128205128205,209.71153846153845,184.4206730769231,235.57692307692307
missingness,Page-Hinkley,300,0.0,0.0,0.0,0.0,0.0,0.0,,,
naming,ADWIN,300,0.0,0.0,0.0,0.0,0.0,0.0,,,
naming,Boundary-Aware,300,0.8566666666666667,0.8133333333333334,0.8966666666666666,0.07006410256410256,0.06423076923076922,0.07615384615384616,210.70038910505838,186.67315175097275,236.284046692607
naming,Page-Hinkley,300,0.0,0.0,0.0,0.0,0.0,0.0,,,
title,ADWIN,300,0.04666666666666667,0.023333333333333334,0.07333333333333333,0.0,0.0,0.0,690.2857142857143,612.514285714286,765.7142857142857
title,Boundary-Aware,300,0.9866666666666667,0.9733333333333334,0.9966666666666667,0.07583333333333334,0.07044871794871795,0.08141025641025641,64.69594594594595,51.77153716216217,79.05405405405405
title,Page-Hinkley,300,0.0,0.0,0.0,0.0,0.0,0.0,,,
