variant,shifts_tested,shifts_detected,total_false_alarms,mean_false_alarm_rate,mean_detection_delay
Boundary_Only,3,3,4,0.025641025641025644,83.33333333333333
Entropy_Only,3,3,14,0.08974358974358976,108.33333333333333
Full,3,3,6,0.038461538461538464,108.33333333333333
Mean_Only,3,3,11,0.07051282051282053,33.333333333333336
No_Boundary,3,3,7,0.04487179487179488,108.33333333333333
No_Entropy,3,3,5,0.032051282051282055,250.0
No_Mean,3,3,8,0.05128205128205129,108.33333333333333
No_Std,3,3,6,0.038461538461538464,108.33333333333333
Std_Only,3,3,6,0.038461538461538464,333.3333333333333
