shift,mean_before,mean_after,mean_change,std_before,std_after,median_before,median_after,boundary_mass_before,boundary_mass_after,entropy_before,entropy_after,precision_before,precision_after,recall_before,recall_after,f1_before,f1_after
Naming shift,0.1466783307639928,0.14866965528869577,0.0019913245247029643,0.23974569385848565,0.2232705422493269,0.02,0.035,0.031836022677714786,0.045791539467945924,2.4501903585404414,2.6293497195380837,0.4572192513368984,0.4562841530054645,0.7307692307692307,0.7136752136752137,0.5625,0.5566666666666666
Missingness shift,0.1466783307639928,0.14278581281772432,-0.0038925179462684922,0.23974569385848565,0.2354908709657517,0.02,0.015,0.031836022677714786,0.03009158307893589,2.4501903585404414,2.418381845523431,0.4572192513368984,0.4573002754820937,0.7307692307692307,0.7094017094017094,0.5625,0.5561139028475712
Title shift,0.1466783307639928,0.18760563758724635,0.040927306823253545,0.23974569385848565,0.25300670361620325,0.02,0.075,0.031836022677714786,0.05364151766245094,2.4501903585404414,2.9374424737235936,0.4572192513368984,0.2981651376146789,0.7307692307692307,0.5555555555555556,0.5625,0.3880597014925373
