threshold,calibration_quantile,calibration_threshold,total_detections,false_alarms,post_drift_detections,false_alarm_rate,first_post_drift_detection,detection_delay,detected
0.2,0.99,1.9370300260546003,42,13,29,0.23636363636363636,1375,0,True
0.25,0.99,1.9370300260546003,34,9,25,0.16363636363636364,1375,0,True
0.3,0.99,1.9370300260546003,28,6,22,0.10909090909090909,1375,0,True
0.35,0.99,1.9370300260546003,26,5,21,0.09090909090909091,1375,0,True
0.36,0.99,1.9370300260546003,26,4,22,0.07272727272727272,1375,0,True
0.4,0.99,1.9370300260546003,25,3,22,0.05454545454545454,1375,0,True
0.45,0.99,1.9370300260546003,25,3,22,0.05454545454545454,1375,0,True
0.5,0.99,1.9370300260546003,24,3,21,0.05454545454545454,1375,0,True
