dataset,severity,threshold,stable_boundary_mass,drift_boundary_mass,increase
DBLP-Scholar,0.95,0.3619962209761707,0.7249732810830067,0.7018272425249169,-0.023146038558089832
DBLP-Scholar,0.9,0.3619962209761707,0.7249732810830067,0.6810631229235881,-0.04391015815941868
DBLP-Scholar,0.85,0.3619962209761707,0.7249732810830067,0.6212624584717608,-0.10371082261124598
DBLP-Scholar,0.8,0.3619962209761707,0.7249732810830067,0.5282392026578073,-0.1967340784251994
DBLP-Scholar,0.75,0.3619962209761707,0.7249732810830067,0.38704318936877075,-0.337930091714236
