shift,baseline,boundary_mean_delay,baseline_mean_delay,delay_reduction_percent,boundary_detection_rate,baseline_detection_rate
title,ADWIN,64.69594594594595,690.2857142857143,90.62765683730088,0.9866666666666667,0.04666666666666667
title,Page-Hinkley,64.69594594594595,,,0.9866666666666667,0.0
naming,ADWIN,210.70038910505838,,,0.8566666666666667,0.0
naming,Page-Hinkley,210.70038910505838,,,0.8566666666666667,0.0
missingness,ADWIN,209.71153846153845,,,0.8666666666666667,0.0
missingness,Page-Hinkley,209.71153846153845,,,0.8666666666666667,0.0
