shift,stable_f1,drift_f1,f1_drop,stable_precision,drift_precision,stable_recall,drift_recall
title,0.5484764542936288,0.3882783882783883,0.1601980660152405,0.43805309734513276,0.3045977011494253,0.7333333333333333,0.5353535353535354
naming,0.5484764542936288,0.5679012345679012,-0.019424780274272413,0.43805309734513276,0.4791666666666667,0.7333333333333333,0.696969696969697
missingness,0.5484764542936288,0.5737704918032787,-0.02529403750964987,0.43805309734513276,0.4827586206896552,0.7333333333333333,0.7070707070707071
